Time,Mean Value
2014.106,33.428517
2014.133,33.5131327
2014.160,33.59774841
2014.188,33.68549803
2014.215,33.77011374
2014.242,33.85472944
2014.269,33.93934515
2014.296,34.02396086
2014.323,34.10857656
2014.351,34.19632618
2014.378,34.28094189
2014.405,34.3655576
2014.432,34.4501733
2014.459,34.53478901
2014.486,34.61940471
2014.514,34.70715434
2014.541,34.79177004
2014.568,34.87638575
2014.595,34.96100145
2014.622,35.04561716
2014.649,35.13023287
2014.677,35.21798249
2014.704,35.30259819
2014.731,35.3872139
2014.758,35.47182961
2014.785,35.55644531
2014.812,35.64106102
2014.840,35.72881064
2014.867,35.81342635
2014.894,35.89804205
2014.921,35.98265776
2014.948,36.06727347
2014.976,36.15502309
2015.003,36.23963879
2015.030,36.3242545
2015.057,36.40887021
2015.084,36.49348591
2015.111,36.57810162
2015.138,36.66271732
2015.166,36.75046695
2015.193,36.83508265
2015.220,36.91969836
2015.247,37.00431406
2015.274,37.08892977
2015.301,37.17354548
2015.329,37.2612951
2015.356,37.3459108
2015.383,37.43052651
2015.410,37.51514222
2015.437,37.59975792
2015.464,37.68437363
2015.492,37.77212325
2015.519,37.85673896
2015.546,37.94135466
2015.573,38.02597037
2015.600,38.11058608
2015.627,38.19520178
2015.655,38.2829514
2015.682,38.36756711
2015.709,38.45218282
2015.736,38.53679852
2015.763,38.62141423
2015.790,38.70602993
2015.818,38.79377956
2015.845,38.87839526
2015.872,38.96301097
2015.899,39.04762667
2015.926,39.13224238
2015.953,39.21685809
2015.981,39.30460771
2016.008,39.38922341
2016.035,39.47383912
2016.062,39.55845483
2016.089,39.64307053
2016.116,39.72768624
2016.122,39.74648973
2016.143,39.81230195
2016.170,39.89691765
2016.195,39.97526553
2016.224,40.06614906
2016.252,40.15389869
2016.279,40.23851439
2016.306,40.3231301
2016.333,40.4077458
2016.360,40.49236151
2016.387,40.57697722
2016.414,40.66159292
2016.441,40.74620863
2016.468,40.83082434
2016.495,40.91544004
2016.522,41.00005575
2016.550,41.08780537
2016.577,41.17242108
2016.604,41.25703678
2016.631,41.34165249
2016.658,41.42626819
2016.685,41.5108839
2016.712,41.59549961
2016.739,41.68011531
2016.766,41.76473102
2016.793,41.84934673
2016.821,41.93709635
2016.848,42.02171205
2016.875,42.10632776
2016.902,42.19094347
2016.928,42.27242526
2016.956,42.36017488
2016.983,42.44479058
2017.010,42.52940629
2017.037,42.614022
2017.065,42.70177162
2017.092,42.78638732
2017.119,42.87100303
